x,y,class,gene,nucleus
5855.9,4275.26,Tumour epithelial,ERBB2,Nuclear
838.8,3600.92,Other,Other,Cytoplasmic
235.22,2721.16,Endothelial / vascular,Other,Nuclear
212.48,4132.17,Other,Other,Nuclear
810.24,638.04,Tumour epithelial,Other,Cytoplasmic
3778.59,2580.31,Immune,Other,Cytoplasmic
249.83,2094.44,Tumour epithelial,ERBB2,Nuclear
506.76,3735.7,Other,Other,Nuclear
3749.02,3911.65,Other,Other,Cytoplasmic
6335.44,3265.71,Tumour epithelial,GATA3,Nuclear
6118.39,3244.69,Tumour epithelial,Other,Cytoplasmic
2573.95,3304.12,Other,Other,Cytoplasmic
777.94,772.52,Immune,Other,Cytoplasmic
1965.14,5063.43,Other,Other,Nuclear
4118.39,4889.22,Fibroblast / stroma,Other,Cytoplasmic
6765.13,3538.95,Fibroblast / stroma,LUM,Cytoplasmic
5038.34,4553.61,Other,Other,Cytoplasmic
2797.66,3787.3,Other,POLR2J3,Cytoplasmic
7131.57,5278.19,Tumour epithelial,FOXA1,Cytoplasmic
1409.62,5133.01,Tumour epithelial,EPCAM,Cytoplasmic
477.67,4322.64,Immune,Other,Nuclear
6439.91,2931.51,Immune,Other,Cytoplasmic
4769.94,2607.5,Immune,Other,Nuclear
6168.74,3498.05,Other,CCND1,Cytoplasmic
1700.25,484.91,Fibroblast / stroma,LUM,Nuclear
1319.61,3256.88,Other,Other,Nuclear
2238.84,1348.7,Other,Other,Cytoplasmic
1028.67,1210.1,Fibroblast / stroma,Other,Nuclear
7026.48,1650.34,Immune,Other,Cytoplasmic
2193.62,2568.66,Immune,Other,Nuclear
4287.84,3796.33,Immune,Other,Nuclear
3202.91,1154.48,Other,SCD,Nuclear
3267.21,1788.79,Other,Other,Cytoplasmic
6637.89,14.02,Fibroblast / stroma,Other,Nuclear
2058.47,1726.02,Immune,Other,Cytoplasmic
2942.39,2909.41,Other,Other,Cytoplasmic
208.37,3763.52,Fibroblast / stroma,POSTN,Cytoplasmic
5109.1,3147.34,Immune,Other,Cytoplasmic
1723.54,1497.03,Other,SCD,Nuclear
1624.02,5237.12,Fibroblast / stroma,POSTN,Cytoplasmic
689.83,4269.44,Fibroblast / stroma,Other,Cytoplasmic
3558.72,4832.22,Fibroblast / stroma,POSTN,Cytoplasmic
963.99,4360.16,Other,Other,Cytoplasmic
4077.33,4933.25,Other,Other,Cytoplasmic
7203.95,5103.2,Fibroblast / stroma,Other,Nuclear
959.36,1108.63,Other,SCD,Cytoplasmic
3901.47,1029.65,Fibroblast / stroma,LUM,Cytoplasmic
6544.99,4339.12,Other,Other,Cytoplasmic
1274.84,2096.1,Other,Other,Cytoplasmic
6452.17,4675.43,Tumour epithelial,Other,Cytoplasmic
7498.36,2836.14,Fibroblast / stroma,POSTN,Cytoplasmic
3176.6,4560.03,Fibroblast / stroma,Other,Cytoplasmic
829.58,248.05,Other,SCD,Cytoplasmic
1935.93,613.25,Other,Other,Cytoplasmic
6640.86,1091.68,Tumour epithelial,Other,Nuclear
6619.96,4629.31,Tumour epithelial,Other,Nuclear
3543.58,2411.99,Fibroblast / stroma,LUM,Cytoplasmic
4636.14,4013.86,Immune,Other,Cytoplasmic
341.59,3968.93,Other,Other,Nuclear
3934.69,684.24,Other,Other,Cytoplasmic
257.65,1500.65,Other,CCND1,Nuclear
3558.17,5010.62,Other,Other,Nuclear
6926.52,4935.98,Tumour epithelial,Other,Cytoplasmic
1791.05,1337.66,Tumour epithelial,ANKRD30A,Nuclear
221.75,3578.34,Adipocyte,Other,Nuclear
7502.58,5106.48,Tumour epithelial,EPCAM,Nuclear
5691.36,381.37,Other,Other,Cytoplasmic
3730.17,3687.38,Immune,Other,Cytoplasmic
35.76,5089.76,Immune,Other,Cytoplasmic
3256.34,1069.85,Other,Other,Nuclear
4399.79,1800.55,Myoepithelial / muscle,Other,Cytoplasmic
1317.57,1940.25,Other,Other,Cytoplasmic
1925.8,4052.31,Other,Other,Cytoplasmic
1422.99,3972.22,Other,Other,Cytoplasmic
1616.22,1211.46,Tumour epithelial,Other,Cytoplasmic
1008.13,776.97,Tumour epithelial,ANKRD30A,Nuclear
5122.35,1210.92,Tumour epithelial,ERBB2,Cytoplasmic
2590.3,2162.48,Fibroblast / stroma,POSTN,Cytoplasmic
6797.03,4997.72,Fibroblast / stroma,LUM,Cytoplasmic
1707.13,1179.75,Fibroblast / stroma,LUM,Cytoplasmic
1268.26,4791.86,Tumour epithelial,FOXA1,Nuclear
4781.57,551.81,Tumour epithelial,TACSTD2,Nuclear
3194.8,568.55,Immune,Other,Cytoplasmic
241.03,4980.14,Other,Other,Nuclear
5526.73,1312.21,Fibroblast / stroma,Other,Cytoplasmic
2605.82,2050.28,Other,CCND1,Cytoplasmic
7098.24,2154.05,Other,Other,Cytoplasmic
6854.23,2706.8,Other,Other,Cytoplasmic
5005.86,2697.69,Immune,Other,Cytoplasmic
7153.29,2290.51,Tumour epithelial,Other,Cytoplasmic
2182,1282.29,Other,Other,Cytoplasmic
189.62,3715.99,Tumour epithelial,FOXA1,Cytoplasmic
1586.66,3614.6,Other,Other,Nuclear
4345.14,5401.11,Other,Other,Cytoplasmic
