"gene","logFC","AveExpr","t","pvalue","padj"
"SAMD11",1.5707,8.8058,4.6263,3.723e-06,2.822e-05
"NOC2L",0.835,11.1439,3.2855,0.001018,0.00362
"KLHL17",0.7897,7.5417,3.8099,0.000139,0.0006625
"PLEKHN1",0.5155,7.1693,1.7072,0.08778,0.1547
"PERM1",0.8048,6.753,2.4193,0.01555,0.0369
"HES4",0.325,7.2363,0.9971,0.3187,0.433
"ISG15",2.8083,9.2843,6.5352,6.352e-11,1.52e-09
"AGRN",0.3421,12.5356,1.4103,0.1584,0.2495
"RNF223",1.1592,6.5504,2.3394,0.01931,0.04419
"C1orf159",0.7079,8.4119,3.2529,0.001142,0.003992
"TTLL10",-1.0484,5.7833,-2.6608,0.007796,0.02048
"TNFRSF18",2.3912,7.0051,5.656,1.549e-08,2.176e-07
"TNFRSF4",0.2566,6.6036,0.9638,0.3351,0.4504
"SDF4",0.1392,11.6771,0.8125,0.4165,0.5312
"B3GALT6",0.5112,9.6849,2.5964,0.009419,0.02405
"C1QTNF12",-0.0334,5.7041,-0.1159,0.9077,0.9361
"UBE2J2",0.3887,10.2661,2.607,0.009134,0.02345
"SCNN1D",0.3632,7.1272,1.3416,0.1797,0.2758
"ACAP3",0.3623,9.8271,2.2323,0.0256,0.05589
"PUSL1",0.892,8.4465,3.5218,0.0004286,0.001739
"INTS11",0.1889,11.1725,1.3075,0.191,0.2894
"CPTP",0.023,9.6488,0.0875,0.9303,0.9515
"TAS1R3",0.8425,6.341,2.537,0.01118,0.02784
"DVL1",0.4057,10.4373,1.854,0.06373,0.1191
"MXRA8",0.0314,11.6478,0.1028,0.9181,0.943
"AURKAIP1",0.3926,10.3596,1.3235,0.1857,0.2829
"CCNL2",0.0099,11.429,0.0515,0.9589,0.9715
"MRPL20",0.2828,10.852,1.2666,0.2053,0.3063
"ANKRD65",-1.4893,8.2951,-4.454,8.428e-06,5.792e-05
"VWA1",1.0853,11.1237,3.6904,0.0002239,0.0009971
"ATAD3C",0.6451,8.1655,1.7983,0.07213,0.1316
"ATAD3B",0.7755,8.9106,2.6889,0.007169,0.01913
"ATAD3A",0.7751,9.3987,2.8428,0.004473,0.01284
"TMEM240",-0.5759,5.9808,-2.0485,0.04051,0.08156
"SSU72",0.3116,11.8311,1.4858,0.1373,0.2225
"FNDC10",1.6467,8.2966,4.0592,4.924e-05,0.000269
"MIB2",-0.4607,9.2901,-1.7967,0.07238,0.1321
"MMP23B",-0.9283,6.0779,-2.2379,0.02523,0.05523
"CDK11B",0.0799,10.4423,0.5642,0.5726,0.6759
"SLC35E2B",0.1906,11.7801,1.3532,0.176,0.2713
"CDK11A",0.0586,9.7621,0.4586,0.6465,0.7382
"SLC35E2",-0.0753,8.374,-0.359,0.7196,0.7965
"NADK",-0.0217,11.0115,-0.128,0.8982,0.93
"GNB1",0.5158,13.6966,3.9275,8.583e-05,0.0004352
"CALML6",0.4309,5.8198,1.1605,0.2459,0.3534
"TMEM52",0.9534,6.363,2.4178,0.01562,0.03703
"GABRD",2.7708,6.2951,8.6509,5.108e-18,4.909e-16
"PRKCZ",0.4949,9.2678,1.7827,0.07463,0.1354
"FAAP20",0.4075,9.9891,1.8162,0.06935,0.1276
"SKI",-0.3474,11.9107,-2.7564,0.005844,0.01609
"MORN1",0.43,8.1699,2.1118,0.0347,0.07171
"RER1",0.2802,12.006,2.1618,0.03063,0.06486
"PEX10",-0.0311,10.7787,-0.2041,0.8383,0.8879
"PLCH2",-2.3374,8.2014,-5.4752,4.37e-08,5.493e-07
"PANK4",-0.1828,9.1984,-0.8883,0.3744,0.4893
"TNFRSF14",-0.5121,10.1903,-2.3571,0.01842,0.0425
"FAM213B",0.8145,10.2326,3.0236,0.002498,0.007772
"MMEL1",0.8113,8.1618,2.4337,0.01495,0.03567
"TTC34",-0.72,6.406,-1.7253,0.08448,0.1499
"PRDM16",-1.6998,6.8905,-5.9555,2.593e-09,4.357e-08
"ARHGEF16",0.91,9.0352,3.2425,0.001185,0.004118
"MEGF6",-0.1437,9.5149,-0.4712,0.6375,0.7302
"TPRG1L",-0.5468,11.286,-4.4323,9.325e-06,6.3e-05
"WRAP73",0.4238,9.2039,2.7593,0.005792,0.01597
"TP73",0.6713,7.9622,1.6894,0.09115,0.1594
"CCDC27",-0.6256,6.4031,-3.0743,0.00211,0.006739
"SMIM1",0.481,6.4581,1.5293,0.1262,0.2081
"LRRC47",0.0568,10.8764,0.2901,0.7718,0.8375
"CEP104",0.0582,10.4214,0.5269,0.5983,0.6987
"DFFB",0.5034,7.9689,2.6717,0.007548,0.01995
"C1orf174",0.2835,9.4711,2.0426,0.04109,0.08254
"AJAP1",-0.9428,6.6219,-3.4265,0.0006114,0.002355
"NPHP4",0.3409,8.9779,1.6647,0.09597,0.1662
"KCNAB2",0.3346,9.0052,1.282,0.1998,0.3
"RPL22",-0.2024,13.4982,-0.9833,0.3255,0.4402
"RNF207",-0.0618,8.3624,-0.2574,0.7969,0.8566
"ICMT",0.1671,11.8581,1.0971,0.2726,0.3835
"GPR153",0.0273,8.9544,0.1102,0.9122,0.939
"ACOT7",1.6345,9.1758,5.5596,2.704e-08,3.574e-07
"HES2",1.5299,6.722,3.4682,0.0005239,0.002058
"ESPN",1.5506,8.7435,4.2317,2.319e-05,0.0001392
"TNFRSF25",0.2343,7.8919,0.8392,0.4013,0.5164
"PLEKHG5",-0.6927,9.1686,-2.52,0.01173,0.02898
"NOL9",0.1681,9.9207,1.2416,0.2144,0.317
"ZBTB48",-0.1066,9.0538,-0.6721,0.5015,0.6122
"KLHL21",-1.3534,11.1801,-7.134,9.748e-13,3.465e-11
"PHF13",-0.009,10.3419,-0.092,0.9267,0.9489
"THAP3",0.1107,10.0129,0.7155,0.4743,0.5868
"DNAJC11",0.1167,10.6636,0.8254,0.4091,0.5245
"CAMTA1",0.0622,10.083,0.377,0.7062,0.7867
"VAMP3",-0.6766,11.7378,-4.8094,1.514e-06,1.278e-05
"PER3",-0.5192,10.4511,-1.6377,0.1015,0.1742
"UTS2",-0.4687,8.1288,-1.5654,0.1175,0.1963
"TNFRSF9",2.0125,6.232,4.8798,1.062e-06,9.316e-06
"PARK7",0.1896,12.312,0.8066,0.4199,0.5344
"ERRFI1",0.1029,11.7627,0.3263,0.7442,0.8161
"SLC45A1",0.5052,6.9434,1.5893,0.112,0.1887
"RERE",-0.506,12.5057,-3.3038,0.0009537,0.003421
"ENO1",0.3176,14.3512,1.2663,0.2054,0.3064
"SLC2A5",-0.6881,7.3214,-2.133,0.03292,0.06878
"GPR157",-0.0658,9.3304,-0.2429,0.8081,0.8654
"H6PD",-0.7049,12.0564,-3.6631,0.0002492,0.001091
"SPSB1",0.4253,10.0646,1.8836,0.05963,0.1125
"SLC25A33",-0.1235,8.5189,-0.5011,0.6163,0.7131
"TMEM201",0.2869,9.375,1.1309,0.2581,0.3671
"PIK3CD",-0.4019,9.4335,-2.3473,0.01891,0.04344
"CLSTN1",0.0794,12.9704,0.569,0.5693,0.673
"CTNNBIP1",-0.2614,10.6101,-1.5153,0.1297,0.2126
"LZIC",0.078,9.9399,0.6178,0.5367,0.6435
"NMNAT1",-0.4374,9.0104,-2.6331,0.00846,0.02194
"RBP7",-2.4836,8.8838,-6.4457,1.151e-10,2.585e-09
"UBE4B",-0.228,11.2124,-1.7528,0.07963,0.1429
"KIF1B",-0.1271,11.6387,-0.6794,0.4969,0.6082
"PGD",0.1814,11.8009,0.8141,0.4156,0.5303
"CENPS",0.9741,8.5278,5.321,1.032e-07,1.177e-06
"CORT",0.904,5.9824,4.1018,4.1e-05,0.0002294
"APITD1-CORT",0.9613,8.351,5.4528,4.959e-08,6.142e-07
"DFFA",-0.1336,10.8509,-1.1893,0.2343,0.3402
"PEX14",-0.0718,9.4627,-0.459,0.6463,0.738
"CASZ1",0.3121,10.7073,1.3507,0.1768,0.2722
"C1orf127",0.7064,5.7841,2.321,0.02029,0.04606
"TARDBP",0.2282,12.3171,1.782,0.07475,0.1356
"RP4-635E18.9",0.0295,10.9379,0.2174,0.8279,0.8797
"MASP2",-0.3633,6.9885,-1.0117,0.3117,0.4255
"SRM",0.5093,10.6962,1.7637,0.07779,0.1401
"EXOSC10",0.19,11.3299,1.8815,0.0599,0.113
"ANGPTL7",-4.028,6.7694,-5.9152,3.315e-09,5.418e-08
"MTOR",0.0393,11.4793,0.2414,0.8092,0.8664
"UBIAD1",0.118,9.9617,1.0901,0.2757,0.3869
"DISP3",1.9214,5.9557,3.6644,0.0002479,0.001086
"FBXO2",-1.1964,8.5265,-2.4761,0.01328,0.03221
"FBXO44",-0.4013,9.1143,-1.7913,0.07324,0.1334
"FBXO6",0.716,8.7209,2.8038,0.00505,0.01423
"MAD2L2",0.7952,9.4126,2.9118,0.003593,0.01064
"DRAXIN",0.6878,6.3225,2.5462,0.01089,0.02723
"AGTRAP",0.2667,10.2063,1.0978,0.2723,0.3832
"C1orf167",-0.1542,8.0437,-0.6015,0.5475,0.6537
"MTHFR",-0.0978,10.2857,-0.4921,0.6226,0.7183
"CLCN6",-0.6349,9.6722,-3.6796,0.0002336,0.001033
"KIAA2013",0.4145,11.02,2.2552,0.02412,0.05319
"PLOD1",0.6828,12.1339,3.0016,0.002686,0.008268
"MFN2",-0.2425,11.9927,-2.1971,0.02802,0.06023
"MIIP",0.2269,9.0119,1.0989,0.2718,0.3827
"TNFRSF8",-1.9388,6.6049,-6.1014,1.052e-09,1.924e-08
"TNFRSF1B",-1.1816,10.2884,-4.7442,2.093e-06,1.686e-05
"VPS13D",-0.3687,11.9471,-1.6727,0.09438,0.1639
"DHRS3",-1.0225,10.6211,-3.6431,0.0002694,0.001166
"HNRNPCL1",0.4603,5.7821,1.9341,0.0531,0.1023
"PDPN",-0.5572,9.6592,-1.9651,0.0494,0.09642
"PRDM2",-0.1341,11.213,-0.65,0.5157,0.6248
"KAZN",0.1246,10.1267,0.5291,0.5967,0.6972
"TMEM51",0.3074,8.7617,1.7026,0.08864,0.1559
"FHAD1",1.355,7.3023,4.6193,3.85e-06,2.905e-05
"EFHD2",0.2771,10.2643,1.2753,0.2022,0.3026
"CASP9",-0.1452,9.0362,-1.1752,0.2399,0.3466
"AGMAT",1.1157,6.4841,4.0838,4.43e-05,0.0002449
"DNAJC16",0.2299,10.3712,1.5435,0.1227,0.2034
"RSC1A1",-0.127,9.1788,-0.4837,0.6286,0.723
"DDI2",-0.1989,11.5413,-1.1439,0.2527,0.3609
"PLEKHM2",-0.3719,11.0976,-1.8219,0.06846,0.1262
"SLC25A34",-1.2054,6.5768,-4.3837,1.167e-05,7.66e-05
"FBLIM1",0.4132,10.8001,1.6763,0.09368,0.163
"UQCRHL",0.4374,9.262,1.6446,0.1,0.1721
"SPEN",-0.1314,12.0316,-0.676,0.499,0.6101
"ZBTB17",0.0068,9.374,0.0469,0.9626,0.974
"C1orf64",0.9601,8.6082,1.3864,0.1656,0.2583
"HSPB7",-3.8451,8.7692,-7.8402,4.497e-15,2.454e-13
"CLCNKA",-0.0567,6.0993,-0.17,0.865,0.907
"CLCNKB",-1.118,5.7626,-2.9458,0.003221,0.00968
"EPHA2",-1.1681,9.5455,-4.9615,6.996e-07,6.455e-06
"ARHGEF19",0.6085,9.4229,2.1425,0.03215,0.0675
"RSG1",-0.0778,7.0924,-0.3341,0.7383,0.8114
"FBXO42",-0.0309,10.2328,-0.2553,0.7985,0.8578
"SZRD1",0.1029,12.2103,0.8813,0.3782,0.493
"SPATA21",-0.0045,10.3312,-0.0388,0.9691,0.9785
"NECAP2",-0.1297,10.8638,-1.0576,0.2902,0.4028
"NBPF1",-0.0965,10.2745,-0.4074,0.6837,0.768
"CROCC",-0.1894,9.4047,-0.8338,0.4044,0.5199
"MFAP2",2.2979,9.4357,6.9767,3.021e-12,9.518e-11
"ATP13A2",0.6573,10.8372,4.1779,2.942e-05,0.0001713
"SDHB",0.202,10.8472,1.324,0.1855,0.2827
"PADI2",-0.964,10.9503,-2.2245,0.02611,0.05685
"RCC2",1.2784,12.3951,6.829,8.552e-12,2.433e-10
"ARHGEF10L",-0.5089,10.4954,-2.4027,0.01628,0.03829
"IGSF21",1.1489,8.059,2.3706,0.01776,0.04124
"KLHDC7A",0.2405,8.2012,0.3486,0.7274,0.8024
"ALDH4A1",-1.439,10.448,-5.3314,9.747e-08,1.122e-06
"RP13-279N23.2",-1.6399,9.7386,-6.2556,3.961e-10,8.046e-09
"IFFO2",-1.7349,10.6085,-5.5295,3.211e-08,4.176e-07
"UBR4",-0.0327,12.7724,-0.165,0.869,0.9098
"EMC1",0.1922,11.2779,1.9495,0.05124,0.09936
"MRTO4",0.4396,10.1746,2.1735,0.02974,0.06326
"AKR7A3",2.1886,8.2989,3.991,6.578e-05,0.000346
"AKR7A2",0.105,10.6104,0.5036,0.6145,0.7115
"PQLC2",0.5338,8.7344,2.9839,0.002846,0.008699
"CAPZB",0.4225,12.7887,3.4053,0.0006608,0.002509
"MINOS1",0.4333,10.5466,2.0152,0.04389,0.0872
"MINOS1-NBL1",0.4056,12.243,1.6782,0.0933,0.1624
"NBL1",0.3556,12.2254,1.1677,0.2429,0.35
"TMCO4",-0.3558,9.9388,-1.8085,0.07053,0.1295
"RNF186",-3.5543,5.8037,-6.1876,6.108e-10,1.176e-08
"OTUD3",-0.4688,9.2754,-2.3308,0.01976,0.04505
"PLA2G2A",-3.3058,7.5621,-5.242,1.588e-07,1.729e-06
"PLA2G5",-1.5322,6.3183,-3.8619,0.0001125,0.0005504
"PLA2G2D",0.9464,6.118,2.136,0.03268,0.06839
"UBXN10",1.0424,9.2534,3.0813,0.002061,0.006598
"CAMK2N1",0.9726,10.9031,2.8481,0.004399,0.01266
"MUL1",-0.3055,10.2494,-2.1255,0.03355,0.06978
"FAM43B",-0.0616,6.1269,-0.1273,0.8987,0.9303
"CDA",0.3619,6.5057,0.8887,0.3742,0.4892
"PINK1",-0.7027,11.3757,-4.0861,4.387e-05,0.0002428
"DDOST",0.4824,12.6397,2.8407,0.004502,0.01291
"KIF17",-1.0626,6.6658,-4.7253,2.298e-06,1.834e-05
"HP1BP3",0.0955,12.7479,0.7398,0.4594,0.5728
"EIF4G3",0.4424,11.6284,2.6815,0.007329,0.01949
"ECE1",-0.4162,13.1175,-2.0521,0.04016,0.08099
"NBPF3",-0.1977,8.9549,-0.8299,0.4066,0.5219
"ALPL",-1.0648,9.5351,-2.4814,0.01309,0.0318
"RAP1GAP",0.5102,9.242,1.2638,0.2063,0.3075
"USP48",0.0265,11.0912,0.2583,0.7961,0.8562
"LDLRAD2",-0.2255,11.6221,-0.8981,0.3691,0.4844
"HSPG2",-0.3596,13.6245,-1.2455,0.213,0.3154
"CDC42",0.4254,12.9384,4.038,5.392e-05,0.0002916
"WNT4",-0.1474,7.9867,-0.3764,0.7066,0.787
"ZBTB40",-0.1271,10.4959,-0.7806,0.4351,0.5495
"C1QA",-0.6969,10.9919,-2.0448,0.04088,0.08221
"C1QC",-0.3205,11.111,-1.0539,0.2919,0.4045
"C1QB",-0.5494,11.1862,-1.6836,0.09226,0.1609
"EPHB2",1.8382,8.3111,4.7999,1.587e-06,1.332e-05
"KDM1A",0.6679,11.6367,3.9818,6.841e-05,0.0003579
"LUZP1",-0.3152,10.8296,-1.5058,0.1321,0.2157
"HNRNPR",0.4165,12.2617,3.453,0.0005543,0.002167
"ZNF436",-0.2413,10.7579,-1.3501,0.177,0.2724
"TCEA3",0.8921,10.6448,3.6236,0.0002906,0.001246
"ASAP3",-0.1696,10.6259,-1.0578,0.2901,0.4027
"E2F2",2.5627,7.4549,7.5236,5.33e-14,2.438e-12
"ID3",-0.7106,10.1466,-2.5895,0.009612,0.02443
"RPL11",-0.364,14.599,-1.7398,0.0819,0.1462
"ELOA",0.1364,11.2402,1.2288,0.2191,0.3226
"PITHD1",0.0553,10.6174,0.3945,0.6932,0.7761
"LYPLA2",0.7103,10.3074,3.4073,0.0006562,0.002495
"GALE",1.2724,9.4523,4.6702,3.009e-06,2.338e-05
"HMGCL",-0.1348,10.2382,-0.7075,0.4793,0.5915
"FUCA1",0.0579,10.5694,0.2697,0.7874,0.8499
"PNRC2",0.049,11.8056,0.4198,0.6746,0.7616
"SRSF10",0.2322,11.7505,1.8258,0.06788,0.1253
"MYOM3",-1.3793,7.09,-4.1305,3.62e-05,0.000206
"IL22RA1",-0.8815,6.4137,-2.3854,0.01706,0.03986
"IFNLR1",-0.6462,8.2419,-2.5248,0.01158,0.02864
"GRHL3",1.4219,7.0074,3.7984,0.0001456,0.000688
"STPG1",0.1387,8.7548,1.2499,0.2113,0.3135
"NIPAL3",-0.4467,10.666,-2.384,0.01713,0.03999
"RCAN3",0.3346,10.4749,1.4394,0.15,0.2389
"NCMAP",-1.197,7.5782,-2.2305,0.02572,0.05613
"SRRM1",0.0862,11.7003,0.593,0.5532,0.6589
"CLIC4",-0.0396,12.9615,-0.1974,0.8435,0.8918
"RUNX3",-0.6566,8.907,-2.1277,0.03336,0.06948
"SYF2",-0.1856,10.8174,-1.4471,0.1479,0.2362
"RHD",-0.2784,5.9407,-0.6008,0.548,0.6541
"RSRP1",-0.6152,10.2284,-2.6383,0.008332,0.02166
"TMEM50A",0.2007,11.9998,1.7173,0.08593,0.1518
"RHCE",0.4436,7.0089,2.2665,0.02342,0.05195
"TMEM57",0.6337,10.7539,4.7039,2.553e-06,2.016e-05
"LDLRAP1",0.1393,10.459,1.1432,0.253,0.3612
"MAN1C1",-0.3698,9.336,-1.452,0.1465,0.2345
"SELENON",0.2607,12.4635,1.9803,0.04766,0.09351
"RP1-317E23.6",-0.1329,9.3198,-0.6287,0.5295,0.6374
"MTFR1L",-0.5063,10.7579,-4.5077,6.552e-06,4.664e-05
"AUNIP",0.0311,8.5981,0.1402,0.8885,0.9232
"PAQR7",-0.1227,9.1992,-0.7114,0.4768,0.5891
"STMN1",2.2185,11.8315,7.4416,9.951e-14,4.27e-12
"PAFAH2",0.097,9.6209,0.5722,0.5672,0.6714
"EXTL1",-0.598,7.1382,-1.4947,0.135,0.2196
"SLC30A2",-0.7038,5.9389,-1.3466,0.1781,0.2736
"PDIK1L",0.4551,9.5338,2.5977,0.009386,0.02399
"FAM110D",-2.3018,7.4848,-6.8969,5.314e-12,1.593e-10
"ZNF593",0.1603,8.7092,0.5332,0.5939,0.6943
"RP11-96L14.7",0.1341,8.6888,0.4535,0.6502,0.7413
"CNKSR1",0.432,9.662,1.5291,0.1262,0.2082
"CEP85",1.072,9.3699,5.4385,5.372e-08,6.607e-07
"SH3BGRL3",0.5575,11.8259,2.1488,0.03165,0.06664
"UBXN11",0.4303,10.4575,2.0511,0.04026,0.08115
"CD52",-0.5687,8.4722,-1.387,0.1654,0.2581
"AIM1L",3.3294,6.3114,9.8343,8.011e-23,1.554e-20
"ZNF683",-1.0041,6.4963,-2.4713,0.01346,0.03257
"DHDDS",-0.4929,10.5185,-2.8511,0.004357,0.01256
"HMGN2",0.644,12.0828,3.5293,0.0004167,0.001701
"RPS6KA1",0.684,10.5426,2.9036,0.003689,0.01089
"ARID1A",0.5979,12.249,3.5436,0.0003946,0.001623
"PIGV",-0.1335,9.5759,-0.7469,0.4551,0.5686
"ZDHHC18",0.259,10.1196,1.7838,0.07446,0.1352
"SFN",0.2111,9.7743,0.4929,0.6221,0.7179
"GPN2",-0.1122,9.8452,-1.1776,0.2389,0.3455
"GPATCH3",-0.2275,8.7804,-1.5738,0.1155,0.1935
"NUDC",0.3656,11.3166,1.7502,0.08009,0.1436
"KDF1",0.6239,9.0778,1.7994,0.07196,0.1314
"TRNP1",-0.665,8.3619,-1.9827,0.0474,0.09309
"FAM46B",-0.9096,9.0449,-2.5275,0.01149,0.02845
"SLC9A1",0.3404,11.217,2.0035,0.04513,0.0893
"WDTC1",-0.4895,11.8154,-3.5059,0.0004551,0.001826
"TMEM222",0.1025,10.3236,0.6468,0.5178,0.6267
"SYTL1",-0.1261,9.3241,-0.3654,0.7148,0.7936
"MAP3K6",-0.2639,10.2622,-1.5514,0.1208,0.201
"FCN3",-0.8408,6.4194,-3.3299,0.0008689,0.00315
"CD164L2",-1.1325,6.5533,-2.1984,0.02792,0.06004
"GPR3",0.4991,6.1408,1.2856,0.1986,0.2985
"WASF2",-0.3498,12.8161,-2.6677,0.007637,0.02015
"AHDC1",-0.4572,10.6019,-2.551,0.01074,0.02691
"FGR",-0.8373,8.2674,-2.8551,0.004303,0.01243
"IFI6",2.6793,11.0971,6.9556,3.51e-12,1.085e-10
"FAM76A",-0.3377,9.1317,-2.3706,0.01776,0.04124
"STX12",-0.498,11.1098,-3.5917,0.0003285,0.001383
"PPP1R8",0.3176,10.6404,2.4522,0.0142,0.03413
"THEMIS2",-0.0358,8.9392,-0.1331,0.8941,0.9269
"RPA2",-0.0115,10.5414,-0.0811,0.9354,0.9552
"SMPDL3B",1.2958,8.6695,3.5227,0.0004272,0.001736
"XKR8",0.1876,8.4691,1.2987,0.194,0.2928
"EYA3",0.52,10.2843,3.4834,0.0004952,0.001961
"PTAFR",-0.3472,8.9675,-1.2877,0.1978,0.2976
"DNAJC8",0.1284,11.1988,1.0131,0.311,0.4249
"ATPIF1",0.5327,10.7505,2.1636,0.03049,0.0646
"SESN2",-0.1404,9.2722,-0.8981,0.3691,0.4844
"MED18",0.0555,8.9061,0.3978,0.6908,0.7741
"PHACTR4",0.2963,11.0052,2.2668,0.0234,0.05193
"RCC1",1.1919,10.3929,5.5467,2.911e-08,3.816e-07
"TRNAU1AP",0.1684,9.0873,1.3001,0.1936,0.2923
"RAB42",0.0789,7.3275,0.3157,0.7522,0.8221
"TAF12",0.6292,9.5603,4.1942,2.738e-05,0.0001609
"GMEB1",0.3958,9.7153,3.1804,0.001471,0.004947
"YTHDF2",0.3611,11.6947,2.7622,0.005741,0.01587
"OPRD1",2.9563,6.4614,5.1916,2.085e-07,2.208e-06
"EPB41",0.4776,11.1376,2.011,0.04432,0.08791
"TMEM200B",0.0602,9.2713,0.2525,0.8006,0.8597
"SRSF4",0.3293,11.6297,2.9243,0.003452,0.01028
"MECR",-0.2465,9.4075,-1.3509,0.1767,0.2721
"PTPRU",-0.4621,9.8448,-1.8811,0.05995,0.1131
"MATN1",-0.3069,5.9206,-1.1088,0.2675,0.3778
"LAPTM5",0.4433,12.0136,1.8049,0.07109,0.1303
"SDC3",-0.223,12.2047,-1.0836,0.2785,0.39
"PUM1",0.0238,12.1555,0.2118,0.8323,0.8831
"NKAIN1",3.1537,7.9013,5.0582,4.232e-07,4.124e-06
"SNRNP40",0.4979,10.3665,3.7252,0.0001952,0.0008856
"ZCCHC17",0.4043,10.1934,2.8208,0.00479,0.0136
"FABP3",0.207,8.035,0.6846,0.4936,0.605
"SERINC2",1.0965,11.8688,3.7445,0.0001808,0.0008289
"TINAGL1",-1.2406,10.9555,-4.3013,1.698e-05,0.0001063
"HCRTR1",0.0879,6.1243,0.575,0.5653,0.6696
"PEF1",0.2295,11.1731,1.4846,0.1376,0.2228
"COL16A1",0.3597,11.6213,1.2575,0.2086,0.3103
"ADGRB2",1.8763,8.9698,4.9561,7.191e-07,6.597e-06
"SPOCD1",1.8255,6.7461,4.2473,2.164e-05,0.0001314
"PTP4A2",0.5672,13.1373,3.5639,0.0003654,0.001519
"KHDRBS1",0.4118,12.6111,3.4433,0.0005746,0.002233
"TMEM39B",0.1711,9.005,0.9465,0.3439,0.4592
"KPNA6",0.3304,11.8364,2.2746,0.02293,0.05102
"TXLNA",0.4532,11.8264,4.3529,1.343e-05,8.665e-05
"CCDC28B",0.8864,7.805,3.7675,0.0001649,0.000767
"IQCC",0.8864,7.9372,5.1262,2.957e-07,3.007e-06
"DCDC2B",0.7597,6.3257,2.0442,0.04094,0.0823
"TMEM234",0.3947,8.3894,2.577,0.009965,0.02521
"EIF3I",0.4422,12.5027,2.0982,0.03589,0.07375
"FAM167B",-8e-04,7.1351,-0.0032,0.9974,0.9981
"LCK",-0.0237,7.5841,-0.0746,0.9405,0.9588
"HDAC1",0.554,11.6263,2.6304,0.008528,0.02209
"MARCKSL1",1.5125,12.8671,6.0224,1.719e-09,2.985e-08
"FAM229A",0.22,7.4965,0.7527,0.4516,0.5654
"TSSK3",0.4396,7.0631,1.3227,0.1859,0.283
"BSDC1",0.1696,11.8551,1.935,0.05299,0.1021
"RP1-27O5.3",0.7884,7.9635,4.6627,3.122e-06,2.417e-05
"ZBTB8A",0.4204,9.2027,3.692,0.0002225,0.0009914
"ZBTB8OS",0.5241,9.0364,3.5526,0.0003814,0.001574
"RBBP4",0.5772,12.6748,4.0125,6.007e-05,0.0003203
"SYNC",0.409,10.5057,2.9332,0.003355,0.01003
"KIAA1522",0.7047,12.6642,3.2829,0.001027,0.003647
"YARS",0.882,11.2651,5.2732,1.341e-07,1.493e-06
"S100PBP",0.4107,10.0672,3.2014,0.001367,0.004652
"FNDC5",-0.8201,7.0664,-2.3047,0.02118,0.04775
"HPCA",0.8386,7.8703,4.0079,6.126e-05,0.0003257
"TMEM54",0.9542,10.0348,4.0748,4.605e-05,0.0002538
"RNF19B",0.2572,10.0637,2.1458,0.03188,0.06698
"AK2",0.4781,11.6713,3.2941,0.0009873,0.003527
"AZIN2",0.5921,8.3264,2.7928,0.005226,0.01463
"TRIM62",0.795,8.7325,4.8334,1.342e-06,1.148e-05
"ZNF362",0.1412,10.4743,1.1061,0.2687,0.379
"PHC2",0.3117,11.9223,2.3747,0.01756,0.04088
"ZSCAN20",0.3996,7.6446,1.9175,0.05517,0.1056
"CSMD2",2.9267,6.6437,6.3798,1.773e-10,3.835e-09
"GJB5",-0.2843,6.2974,-0.6279,0.5301,0.6378
"GJB3",0.8024,6.3283,1.5939,0.111,0.1872
"GJA4",-0.9489,8.7598,-3.0721,0.002126,0.006778
"SMIM12",0.13,9.9404,0.8811,0.3782,0.493
"TMEM35B",-0.4285,9.3106,-2.1468,0.03181,0.06687
"RP11-244H3.4",-0.144,9.9573,-1.1266,0.2599,0.3692
"ZMYM6",0.1654,9.764,1.3068,0.1913,0.2896
"ZMYM1",0.079,9.0035,0.5387,0.5901,0.6911
"SFPQ",0.5971,13.1709,4.4427,8.882e-06,6.042e-05
"ZMYM4",0.4011,11.6219,3.0012,0.002689,0.008274
"KIAA0319L",0.3278,11.9842,1.7665,0.07731,0.1394
"NCDN",0.569,10.2589,3.393,0.0006914,0.002607
"TFAP2E",0.7438,6.3181,1.9638,0.04955,0.09662
"PSMB2",0.7862,11.5659,3.995,6.469e-05,0.0003415
"C1orf216",0.2476,9.5006,1.4184,0.1561,0.2464
"CLSPN",3.2363,7.3221,8.6184,6.793e-18,6.358e-16
"AGO4",-0.2338,10.376,-1.3765,0.1687,0.2621
"AGO1",0.316,11.2006,1.9392,0.05247,0.1013
"AGO3",0.2645,10.2849,1.1637,0.2445,0.352
"TEKT2",1.0743,6.2826,2.2991,0.0215,0.04835
"ADPRHL2",0.4827,9.9745,2.1161,0.03434,0.0711
"COL8A2",0.9291,10.5215,2.4193,0.01555,0.0369
"TRAPPC3",0.3501,10.8394,2.2334,0.02552,0.05575
"MAP7D1",-0.4434,11.588,-1.9431,0.05201,0.1006
"THRAP3",0.2394,12.6499,2.2055,0.02742,0.05915
"EVA1B",0.9034,8.9431,2.6088,0.009087,0.02334
"SH3D21",0.935,9.0262,3.0378,0.002383,0.007467
"STK40",-0.493,11.0466,-3.3603,0.0007787,0.002878
"LSM10",0.0929,9.3397,0.3523,0.7246,0.8003
"OSCP1",0.5277,8.843,2.8381,0.004538,0.013
"MRPS15",0.731,10.7184,2.5376,0.01116,0.0278
"CSF3R",0.08,9.0277,0.2439,0.8073,0.8648
"GRIK3",0.4864,9.2134,0.9829,0.3256,0.4403
"ZC3H12A",-0.4023,9.0574,-1.517,0.1293,0.2121
