"gene","logFC","AveExpr","t","pvalue","padj"
"EIF4B",-0.5524,13.68,-3.6561,0.0002561,0.001117
"TNS2",-1.1562,11.8421,-4.7718,1.826e-06,1.505e-05
"SPRYD3",-0.2066,11.0669,-1.1862,0.2355,0.3415
"IGFBP6",-3.3266,9.3971,-8.9903,2.466e-19,2.836e-17
"CSAD",-0.4606,9.6189,-1.8547,0.06364,0.119
"ZNF740",-0.1455,10.7164,-1.1152,0.2648,0.3746
"ITGB7",0.376,7.8933,1.416,0.1568,0.2474
"RARG",-0.0538,10.6967,-0.2967,0.7667,0.8337
"MFSD5",0.2486,9.9614,1.373,0.1698,0.2635
"ESPL1",3.0051,8.1341,9.7337,2.166e-22,4.008e-20
"PFDN5",-0.4326,12.7482,-2.6643,0.007715,0.02031
"C12orf10",0.1096,10.0133,0.5254,0.5993,0.6994
"AAAS",0.0766,10.1399,0.6637,0.5069,0.6171
"SP1",3e-04,12.4756,0.0025,0.998,0.9983
"PRR13",0.484,11.2334,3.1496,0.001635,0.00543
"PCBP2",0.0458,13.89,0.4955,0.6202,0.7164
"MAP3K12",0.3431,10.8006,2.0498,0.04038,0.08133
"TARBP2",0.341,9.1985,1.9352,0.05296,0.1021
"NPFF",-0.7355,6.1526,-2.9001,0.003731,0.01099
"RP11-793H13.10",-0.314,9.0433,-1.3991,0.1618,0.2536
"ATF7",-0.0607,11.6246,-0.3086,0.7576,0.8262
"ATP5G2",0.1142,12.6168,0.4739,0.6355,0.7287
"CALCOCO1",-0.9009,11.6746,-5.0711,3.954e-07,3.889e-06
"HOXC13",2.7,7.1616,5.3449,9.048e-08,1.053e-06
"HOXC11",3.0011,6.6062,5.6853,1.306e-08,1.872e-07
"HOXC10",2.4238,8.605,5.3244,1.013e-07,1.157e-06
"HOXC9",0.7231,7.9417,2.6844,0.007265,0.01934
"HOXC8",-0.0474,7.5388,-0.1491,0.8815,0.9188
"HOXC6",0.413,8.6902,1.588,0.1123,0.1891
"RP11-834C11.12",1.6253,6.6899,3.971,7.158e-05,0.0003725
"HOXC5",0.0469,6.5258,0.1508,0.8801,0.918
"HOXC4",0.8653,7.8955,3.2721,0.001067,0.003765
"SMUG1",0.4073,9.747,3.1005,0.001932,0.006253
"CBX5",0.588,12.5334,3.0277,0.002464,0.007685
"HNRNPA1",0.2447,12.3707,1.5287,0.1263,0.2083
"NFE2",0.9947,6.1279,1.9375,0.05268,0.1016
"COPZ1",0.5498,12.3978,4.0545,5.024e-05,0.0002739
"GPR84",1.4617,6.1876,4.633,3.604e-06,2.747e-05
"ZNF385A",0.7724,10.6988,3.3142,0.0009191,0.003311
"ITGA5",0.4642,11.6053,1.91,0.05613,0.107
"NCKAP1L",-0.0502,9.6835,-0.1747,0.8613,0.9047
"PDE1B",-1.171,8.3126,-3.9441,8.011e-05,0.0004097
"PPP1R1A",-3.8117,9.5794,-8.2656,1.39e-16,1.036e-14
"DCD",-0.1496,5.9881,-0.1671,0.8673,0.9086
"MUCL1",-4.7929,10.4061,-6.391,1.649e-10,3.587e-09
"TESPA1",0.1665,6.7337,0.5096,0.6103,0.7079
"METTL7B",-0.1159,6.3839,-0.2462,0.8055,0.8634
"ITGA7",-3.0116,9.9705,-6.8518,7.293e-12,2.115e-10
"BLOC1S1",-0.065,10.1531,-0.2936,0.769,0.8353
"RP11-644F5.10",-0.9463,10.2712,-3.857,0.0001148,0.0005602
"RDH5",-2.9479,8.4974,-7.1075,1.182e-12,4.057e-11
"CD63",0.0106,13.728,0.0456,0.9637,0.9746
"GDF11",0.5348,8.6479,3.1469,0.00165,0.005476
"SARNP",0.4143,10.0373,2.5051,0.01224,0.03007
"ORMDL2",0.7974,10.5342,4.6544,3.25e-06,2.506e-05
"RP11-762I7.5",0.455,10.8442,3.3881,0.0007038,0.002646
"DNAJC14",0.4373,11.0007,4.7658,1.881e-06,1.542e-05
"MMP19",-0.5933,9.7186,-2.5892,0.009619,0.02444
"PYM1",0.5861,9.6962,3.2229,0.001269,0.004364
"DGKA",0.2754,9.5035,1.3389,0.1806,0.2769
"CDK2",0.7854,10.1266,5.1064,3.284e-07,3.304e-06
"PMEL",-1.2534,7.9694,-4.1123,3.917e-05,0.000221
"RAB5B",0.0316,12.8504,0.2925,0.7699,0.8361
"SUOX",-0.1508,10.1795,-0.8459,0.3976,0.5126
"IKZF4",-0.243,8.8798,-1.3774,0.1684,0.2617
"RPS26",0.246,7.1868,1.3066,0.1914,0.2896
"ERBB3",0.9515,12.897,3.0305,0.002441,0.007622
"RP11-603J24.9",0.5321,9.3605,3.7629,0.000168,0.0007794
"PA2G4",0.5129,11.7758,2.7874,0.005313,0.01484
"RPL41",-0.2331,11.6669,-1.4404,0.1498,0.2385
"ZC3H10",0.0562,8.936,0.4613,0.6446,0.7364
"ESYT1",-0.6194,12.5826,-4.3098,1.634e-05,0.0001027
"MYL6B",0.0289,11.8939,0.1489,0.8816,0.9188
"MYL6",-0.0832,14.3616,-0.4441,0.657,0.7468
"SMARCC2",0.0075,11.9382,0.0536,0.9573,0.9703
"RNF41",-0.1176,10.8686,-1.2936,0.1958,0.2951
"NABP2",0.6043,9.9381,3.4261,0.0006124,0.002358
"ANKRD52",0.3052,11.129,1.7275,0.08407,0.1493
"COQ10A",-0.368,8.1168,-2.2509,0.02439,0.05374
