"sample","BRCA-A","BRCA-B","BRCA-C","BRCA-D"
"TCGA-AO-A124-01A",12.06,38.85,0.17,11.95
"TCGA-A8-A09B-01A",5.06,19.75,2.56,8.63
"TCGA-AR-A24S-01A",0,27.41,4.89,7.66
"TCGA-C8-A278-01A",0.73,17.66,7.02,6.79
"TCGA-EW-A1PH-01A",4.5,28.77,6.92,0.54
"TCGA-A8-A07I-01A",4.08,22.84,4.39,1.76
"TCGA-BH-A209-01A",3.86,2.72,64.03,18.45
"TCGA-D8-A1XL-01A",7.59,32.82,7.61,1.32
"TCGA-A7-A6VX-01A",0,30.99,21.73,15.39
"TCGA-C8-A1HK-01A",7.98,20.16,26.52,0
"TCGA-E9-A1R2-01A",1.62,18.75,6.5,2.14
"TCGA-A7-A6VV-01A",2.49,27.93,8.64,0.7
"TCGA-A2-A0YT-01A",17.63,27.27,1.93,7.42
"TCGA-C8-A12W-01A",9.25,42.26,3.16,0.53
"TCGA-PE-A5DC-01A",0,41.09,10.15,9.95
"TCGA-A8-A08B-01A",5.56,8.92,5.05,14.84
"TCGA-BH-A18H-01A",0,20.33,6.56,9.46
"TCGA-A2-A0CR-01A",0,0,67.59,56.16
"TCGA-E2-A10C-01A",13.85,0,202.67,203.26
"TCGA-XX-A89A-01A",11.01,13.64,142.34,6.98
"TCGA-C8-A8HQ-01A",15.25,26.11,121.91,102.15
