"drug","SW480","NCI-H460","PANC-1","HOP62","LoVo","A498","HEC-1-A","Hs 766T","A549","CFPAC-1","MIA PaCa-2","AsPC-1","SHP-77","J82","NCI-H2347","RKO","A-172","KATO III","LOX-IMVI","NCI-H1573","HT-29","C32","SW1417","NCI-H2030","LS 180","NCI-H1792","NCI-H23","hTERT-HPNE","SW 900","HS-578T","Panc 03.27","RPMI-7951","HCT15","SK-MEL-2","C-33 A","SNU-423","COLO 205","A-427","HepG2/C3A","SNU-1","BT-474","H4","SW48","AN3 CA","CHP-212","SW 1271","SW 1088","NCI-H661","NCI-H2122","NCI-H596"
"Clonidine (hydrochloride)",26609,23447,14887,14638,15677,12379,12412,5473,12601,8314,5661,13398,6161,11847,9121,11095,13054,10159,9714,10923,10303,10998,8979,11017,7860,7519,8934,9493,7468,6910,6576,7429,7017,7136,6662,8155,6279,6967,8670,4102,7045,4184,5073,3617,2100,1209,923,544,131,57
"Chlorhexidine (diacetate)",26459,22590,14871,14479,15509,11342,13611,7524,12270,9569,7393,12155,8474,10908,10579,10835,11925,10085,9631,10427,9929,9730,9260,10564,8409,7764,8355,8304,7171,6885,7406,7047,7322,7144,6989,7388,6338,6256,7794,4558,6565,4176,4726,3033,2103,1139,887,548,172,107
"Uridine",27595,30021,20538,15678,10676,13171,8888,17798,10372,9069,14484,7915,12965,9753,8013,9194,7801,8285,9421,8411,8784,8807,7523,5903,8444,8271,6985,6979,8300,8564,6767,7665,7460,6614,6146,6120,6387,4979,3570,6929,4437,5648,3730,1994,2951,818,476,529,76,65
"Gemcitabine",24305,22673,12489,12394,17068,8771,15700,5179,10586,9369,4491,12815,4515,7622,11028,8719,10730,11314,7662,10206,10979,9122,9623,12120,10278,6914,7458,9086,7149,6198,7350,7037,6076,4932,5817,6404,7255,4625,6734,3168,5825,3660,5037,2162,1580,1054,1269,446,181,156
"Perindopril (erbumine)",26673,28383,19068,14172,10173,12388,9017,16857,9638,8631,12633,7724,12709,8407,7109,8991,7447,8351,8764,7740,8063,7887,7376,5654,7381,7416,6507,6847,7649,7951,6412,7019,7113,6374,5982,5588,5925,4772,3682,6841,4022,5405,3728,1945,2380,780,460,459,79,69
"Quinestrol",22969,21119,13122,13411,14646,10632,12880,4822,11731,8692,4827,11743,5419,10203,9007,9893,11528,9298,8725,9984,8759,9066,8203,10399,7331,6814,8334,8359,6647,6382,6331,6491,5963,6058,6278,7454,6027,6000,8242,3377,6054,3518,4278,3042,1744,1087,815,492,162,98
"Gefitinib",22719,28827,18899,15063,10105,13394,7865,16584,9899,8357,13263,7054,12552,9740,7557,8346,7014,7618,8548,6670,7582,8080,6620,5866,7198,7782,6164,6501,7294,8199,6263,7034,6409,6172,4858,5936,5171,4310,3539,5802,3761,5086,3166,2005,2404,720,405,435,63,87
"Artesunate",23005,20053,12989,13097,13331,10460,11265,4881,11680,7669,5171,11819,5357,10302,8187,10019,11704,8936,8831,8967,8945,9721,8036,9871,6665,6775,8671,8180,6742,6059,5767,6381,5973,5804,6241,7438,5627,6771,8801,3642,6002,3671,4290,3324,1545,1012,774,555,111,80
"Dapagliflozin",25566,26858,17968,13036,9791,11256,8502,15996,8995,8516,12733,7450,12247,8198,7156,8436,6842,7724,8375,8137,7673,7568,7006,5076,7187,7480,6484,6330,7051,7321,6168,6705,6797,5918,5855,5349,5721,4715,3540,6560,4233,4888,3441,1976,2676,704,353,477,74,52
"Everolimus",22282,20961,12096,12570,15688,9331,13733,4618,10395,8818,4607,11896,4235,8279,10126,8797,10942,10156,7884,9288,10187,8900,8864,11821,8981,6653,7422,8342,6768,6108,6957,6270,5444,4984,5483,6586,6049,5280,6653,3260,5224,3475,4736,2494,2041,975,1078,591,279,244
"Goserelin (acetate)",21380,19347,12726,12731,13245,10360,10802,4599,10920,7594,5241,11479,5399,10602,8431,9576,11416,8278,8417,8632,8190,9168,7421,9361,6422,6363,8079,8071,5966,5972,5601,6183,5971,5929,6010,6899,5377,6308,6955,3390,5563,3308,3734,3061,1646,959,783,523,126,77
"Tolcapone",20906,19015,12808,12971,13426,10160,11735,4916,10741,7953,5003,11084,4463,9522,9102,8571,10957,9179,8287,9306,8725,8787,7755,10284,7530,6463,7282,7603,6388,5988,6159,6321,5185,5546,5227,6746,5757,5381,6190,2903,5503,3322,3873,2368,1337,951,901,437,183,97
"Ataluren",22293,25376,17986,13795,9197,11811,8111,15500,8788,8245,12178,6250,10560,8363,6895,7670,6596,7083,7916,7218,6884,6820,6192,5154,6596,7154,6143,5566,6923,7580,5864,6248,5784,5698,5165,5545,4731,4252,3124,5602,3633,4794,3075,1658,2306,738,338,488,102,91
"Hexylresorcinol",20342,18413,11972,12543,13762,9888,11427,3936,10272,7913,5015,10851,5045,10099,7997,9340,11091,8059,8148,7937,8524,8258,7171,9119,6394,6165,7554,7968,6118,5690,6113,5864,5876,5915,5956,7037,5095,5979,6763,3385,5492,3210,3862,3270,1485,838,716,600,203,141
"Allopurinol",23075,25758,17408,13299,9166,11391,8227,14712,8796,8058,11431,6606,10381,7820,6734,7288,6831,7054,7879,7353,7335,7100,6288,5029,6228,6741,6071,6206,7056,7392,5751,6216,5948,5641,5090,5327,5295,4166,3215,5675,3549,4695,3338,1603,2351,690,391,487,83,78
"Berberine (chloride hydrate)",20824,19031,11696,11945,13092,9722,11268,4423,10369,7427,4759,10808,5371,10012,8074,9301,10582,8389,7818,8343,8107,8423,7232,9369,6350,6244,7617,7276,5886,5658,5737,5767,5452,5827,5657,6641,5529,6093,7290,3609,5706,3281,4169,3226,1591,858,717,504,153,112
"Esmolol (hydrochloride)",22415,24930,17289,13186,9044,11489,7670,14655,8913,7859,11125,6296,11811,8385,6706,7621,6448,6972,8444,6814,6841,6683,6081,5023,6295,6816,6147,6312,6593,7338,5548,6128,5968,5329,5125,5528,4653,4238,3461,6039,3568,4836,3067,1854,2264,671,308,386,94,65
"Entecavir (monohydrate)",21290,25461,17319,12507,9107,11752,7706,14255,8636,8443,10728,6077,10487,8021,6936,7448,6623,7388,8230,6377,6880,6240,5945,5304,6560,7119,6418,5343,6780,7467,6029,5941,5779,5736,4739,5440,4834,4790,3300,5609,3673,4961,2936,1648,2341,642,347,524,101,95
"Cloxacillin (sodium)",20566,18406,11705,12116,12950,9548,10312,4564,10656,7452,5023,11081,5108,10278,8304,9536,10470,8122,8194,7972,7649,8245,6960,8527,6169,6136,7656,7272,5755,5656,5524,6180,5622,5495,5878,6608,5136,6216,6314,3345,5521,3059,3692,3043,1675,980,613,468,132,76
"Relugolix",20440,17660,11885,11667,12957,9248,10111,4505,10245,7439,4783,11016,5350,10182,7919,9478,10538,8053,7891,8596,7494,8758,6980,8655,6176,6067,7423,7733,5675,5516,5394,5742,5738,5854,5746,6397,5357,6353,6792,3405,5935,3061,3634,3244,1700,934,600,494,121,58
"Omeprazole",21720,24760,16175,12659,8504,11096,6701,14702,8688,7414,10891,6101,12455,8081,6264,7777,6194,6523,8466,5836,6676,6671,5805,5196,6211,6450,5927,6251,6394,7057,5233,6296,5898,5404,5322,5241,4661,4203,3930,6580,3752,5014,2862,2132,2304,651,344,467,84,62
